action,reason,path,target
ARCHIVE,superseded-date,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round05/do/L2PHL_CATI@R05@AP@20260319.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round05/do/_attic/L2PHL_CATI@R05@AP@20260319.do
ARCHIVE,non-ap-author,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round05/do/L2PHL_CATI@R05@Claude@20260319.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round05/do/_attic/L2PHL_CATI@R05@Claude@20260319.do
ARCHIVE,non-ap-author,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round05/do/L2PH_CATI@R05@CV@20260318.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round05/do/_attic/L2PH_CATI@R05@CV@20260318.do
ARCHIVE,non-ap-author,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round05/do/L2PHL_CATI@R05@Claude@20260330.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round05/do/_attic/L2PHL_CATI@R05@Claude@20260330.do
ARCHIVE,non-ap-author,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round05/do/L2PH_CATI@R05@CV@20260319.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round05/do/_attic/L2PH_CATI@R05@CV@20260319.do
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round05/fix/do/arch,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round05/fix/do/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round05/fix/fix_record/arch,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round05/fix/fix_record/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round02/zzz,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round02/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round02/ado/arch,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round02/ado/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round02/do/arc,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round02/do/_attic
ARCHIVE,non-ap-author,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round02/do/L2PH_CATI@R02@BB@20251231.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round02/do/_attic/L2PH_CATI@R02@BB@20251231.do
ARCHIVE,non-ap-author,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round02/do/L2PH_CATI@R02@BB@20260130.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round02/do/_attic/L2PH_CATI@R02@BB@20260130.do
ARCHIVE,non-ap-author,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round02/do/L2PHL_CATI@R02@Claude@20251228.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round02/do/_attic/L2PHL_CATI@R02@Claude@20251228.do
ARCHIVE,non-ap-author,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round02/do/L2PH_CATI@R02@BB@20251222.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round02/do/_attic/L2PH_CATI@R02@BB@20251222.do
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Questionnaire/Attic (Old versions),/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Questionnaire/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round07/zzz,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round07/_attic
ARCHIVE,non-ap-author,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round07/do/L2PH_CATI@R07@CV@20260511.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round07/do/_attic/L2PH_CATI@R07@CV@20260511.do
ARCHIVE,non-ap-author,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round07/do/L2PHL_CATI@R07@Claude@20260520.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round07/do/_attic/L2PHL_CATI@R07@Claude@20260520.do
ARCHIVE,non-ap-author,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round07/do/L2PH_CATI@R07@CV@20260522.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round07/do/_attic/L2PH_CATI@R07@CV@20260522.do
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round07/fix/do/arch,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round07/fix/do/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round07/fix/fix_record/arch,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round07/fix/fix_record/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round01/zzz,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round01/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round01/ado/arch,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round01/ado/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round01/do/arch,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round01/do/_attic
ARCHIVE,non-ap-author,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round01/do/L2PHL_CATI@R01@Claude@20251125.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round01/do/_attic/L2PHL_CATI@R01@Claude@20251125.do
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round01/Round 1 - Trailer/zzz,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round01/Round 1 - Trailer/_attic
ARCHIVE,non-ap-author,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round01/Round 1 - Trailer/do/L2PHL_CATI@R01_TRAILER@Claude@20251125.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round01/Round 1 - Trailer/do/_attic/L2PHL_CATI@R01_TRAILER@Claude@20251125.do
ARCHIVE,non-ap-author,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round01/Round 1 - Trailer/do/L2PH_CATI@R01_TRAILER@BB@20260106.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round01/Round 1 - Trailer/do/_attic/L2PH_CATI@R01_TRAILER@BB@20260106.do
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round06/zzz,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round06/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round06/xls/arch,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round06/xls/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round06/do/arch,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round06/do/_attic
ARCHIVE,non-ap-author,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round06/do/L2PHL_CATI@R06@Claude@20260429.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round06/do/_attic/L2PHL_CATI@R06@Claude@20260429.do
ARCHIVE,non-ap-author,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round06/do/L2PH_CATI@R06@CB@20260430.do,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round06/do/_attic/L2PH_CATI@R06@CB@20260430.do
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round06/fix/do/arch,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round06/fix/do/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round06/fix/fix_record/arch,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CATI/Round06/fix/fix_record/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CAPI/Analysis/SL/do/_arc,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CAPI/Analysis/SL/do/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CAPI/Analysis/SL/do/_DA,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CAPI/Analysis/SL/do/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CAPI/Analysis/SL/html/_arc,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CAPI/Analysis/SL/html/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CAPI/Analysis/SL/doc/_arc,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CAPI/Analysis/SL/doc/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CAPI/Analysis/DB/html/_arc,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CAPI/Analysis/DB/html/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CAPI/Round00/zzz,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CAPI/Round00/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CAPI/Round00/do/arc,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CAPI/Round00/do/_attic
RENAME-DIR,archive-alias,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CAPI/Round00/stmd/arc,/Users/avraa/iDrive/GitHub/PHL/L2PHL/CAPI/Round00/stmd/_attic
